TS;Test;Model;Target Freq;Target mW;Target dBm;Info;mW;dBm;dif_mW;dif_dBm
1623268314000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;511,0;27,08;-89,0;-0,7
1623268315000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;509,54;27,07;-90,46;-0,71
1623268315000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;509,64;27,07;-90,36;-0,71
1623268316000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;509,3;27,07;-90,7;-0,71
1623268316000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;506,36;27,04;-93,64;-0,74
1623268317000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;506,63;27,05;-93,37;-0,73
1623268317000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;506,15;27,04;-93,85;-0,74
1623268318000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;504,0;27,02;-96,0;-0,76
1623268318000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;503,26;27,02;-96,74;-0,76
1623268319000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;502,59;27,01;-97,41;-0,77
1623268319000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;502,42;27,01;-97,58;-0,77
1623268320000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;500,49;26,99;-99,51;-0,79
1623268320000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;500,75;27,0;-99,25;-0,79
1623268320000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;499,95;26,99;-100,05;-0,79
1623268321000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;498,89;26,98;-101,11;-0,8
1623268321000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;497,1;26,96;-102,9;-0,82
1623268322000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;496,9;26,96;-103,1;-0,82
1623268322000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;495,74;26,95;-104,26;-0,83
1623268323000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;494,49;26,94;-105,51;-0,84
1623268323000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;494,06;26,94;-105,94;-0,84
1623268324000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;493,17;26,93;-106,83;-0,85
1623268324000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;493,7;26,93;-106,3;-0,85
1623268325000000000;20210609_1623268266;AKK_K31_40_CH_600_MW;5865;600,0;27,78;Teststand, manuelle Einstellungen;492,51;26,92;-107,49;-0,86
