TS;Model;Target Freq;Target mW;Target dBm;Info;mW;dBm;dif_mW;dif_dBm
1622878593000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878593000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878594000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878594000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878594000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878595000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878595000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878595000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878595000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878596000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878596000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878596000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878597000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878597000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878597000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878598000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
1622878598000000000;Eachine_TX805;5865;25.0;13.98;VTX im Copter Verbaut, manuelle Pwr-Einstellung;0.0;0.0;-25.0;-13.98
