TS;Test;Model;Target Band;Target Freq;Target mW;Target dBm;Info;mW;dBm;dif_mW;dif_dBm
1623849690000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,37;14,53;3,37;0,55
1623849690000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,39;14,53;3,39;0,55
1623849690000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,33;14,52;3,33;0,54
1623849691000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,32;14,52;3,32;0,54
1623849691000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,25;14,51;3,25;0,53
1623849692000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,18;14,5;3,18;0,52
1623849692000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,18;14,5;3,18;0,52
1623849692000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,18;14,5;3,18;0,52
1623849693000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,23;14,51;3,23;0,53
1623849693000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,17;14,5;3,17;0,52
1623849694000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,23;14,51;3,23;0,53
1623849694000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,18;14,5;3,18;0,52
1623849694000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,13;14,49;3,13;0,51
1623849695000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,09;14,49;3,09;0,51
1623849695000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,18;14,5;3,18;0,52
1623849696000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,28;14,51;3,28;0,54
1623849696000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,12;14,49;3,12;0,51
1623849696000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,14;14,49;3,14;0,51
1623849697000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,11;14,49;3,11;0,51
1623849697000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,07;14,48;3,07;0,5
1623849698000000000;20210616_1623849663;EACHINE_TX805;A;5865;25,0;13,98;Teststand, bench band-A pwr-all;28,03;14,48;3,03;0,5
