TS;Test;Model;Target Freq;Target mW;Target dBm;Info;mW;dBm;dif_mW;dif_dBm
1622898961000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;97,05;19,87;72,05;5,89
1622898962000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;96,12;19,83;71,12;5,85
1622898963000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;95,93;19,82;70,93;5,84
1622898963000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;95,55;19,8;70,55;5,82
1622898963000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;95,14;19,78;70,14;5,8
1622898964000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;94,95;19,77;69,95;5,8
1622898964000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;94,42;19,75;69,42;5,77
1622898964000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;94,03;19,73;69,03;5,75
1622898965000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;93,8;19,72;68,8;5,74
1622898965000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;93,59;19,71;68,59;5,73
1622898966000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;93,2;19,69;68,2;5,71
1622898966000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;92,82;19,68;67,82;5,7
1622898966000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;92,79;19,67;67,79;5,7
1622898967000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;92,45;19,66;67,45;5,68
1622898967000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;92,19;19,65;67,19;5,67
1622898968000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;91,82;19,63;66,82;5,65
1622898968000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;91,55;19,62;66,55;5,64
1622898968000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;91,05;19,59;66,05;5,61
1622898969000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;90,98;19,59;65,98;5,61
1622898969000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;90,6;19,57;65,6;5,59
1622898969000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;90,2;19,55;65,2;5,57
1622898970000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;89,88;19,54;64,88;5,56
1622898970000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;89,65;19,53;64,65;5,55
1622898971000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;89,57;19,52;64,57;5,54
1622898971000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;89,18;19,5;64,18;5,52
1622898971000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;89,03;19,5;64,03;5,52
1622898972000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;88,77;19,48;63,77;5,5
1622898972000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;88,48;19,47;63,48;5,49
1622898973000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;88,31;19,46;63,31;5,48
1622898973000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;88,13;19,45;63,13;5,47
1622898973000000000;20210605_1622898943;MINI_VTX_5848;5865;25,0;13,98;Teststand, manuelle Einstellungen;87,48;19,42;62,48;5,44
